closed	createdAt	number	title	url	research tags
No	02/06/2023 11:35 AM (UTC)	13677	Defective revision can lead to pods never being removed	https://github.com/knative/serving/issues/13677	autoscaling, routing / traffic, status-conditions, version-semantics
No	12/06/2022 2:36 PM (UTC)	13531	Activator not updating healthy pods when probe fails	https://github.com/knative/serving/issues/13531	routing / traffic, status-conditions, version-semantics
No	11/30/2022 4:13 PM (UTC)	13525	503s During Activator Add/Remove from the Path and KSVC Scale Events	https://github.com/knative/serving/issues/13525	config-challenge
Yes	11/19/2022 2:27 AM (UTC)	13487	Old revision does not scale down when TargetBurstCapacity set to 0	https://github.com/knative/serving/issues/13487	autoscaling
No	09/23/2022 8:57 PM (UTC)	13331	Queing requests with 2 ready pods and containerConcurrency=1, number of activators = 2	https://github.com/knative/serving/issues/13331	routing / traffic
No	08/12/2022 10:00 AM (UTC)	13204	Revision reconciler always updates the Kubernetes Deployment	https://github.com/knative/serving/issues/13204	control-plane
No	07/26/2022 7:46 PM (UTC)	13157	Failed revisions can cause unlimited pods to be rapidly created 	https://github.com/knative/serving/issues/13157	status-conditions
No	06/22/2022 1:36 PM (UTC)	13053	Knative Service failing to become ready if label is confused with annotation	https://github.com/knative/serving/issues/13053	status-conditions
Yes	06/14/2022 6:52 PM (UTC)	13036	Garbage collection not running	https://github.com/knative/serving/issues/13036	autoscaling
No	06/12/2022 10:30 PM (UTC)	13028	`h2c` services aren't scaling to zero	https://github.com/knative/serving/issues/13028	autoscaling
Yes	05/25/2022 4:48 PM (UTC)	12966	Autoscaling to zero is broken	https://github.com/knative/serving/issues/12966	autoscaling, config-challenge
Yes	05/04/2022 6:17 PM (UTC)	12912	queue-proxy stops serving traffic after application pod restarts in Knative 1.x	https://github.com/knative/serving/issues/12912	controller-interactions, status-conditions
No	04/18/2022 2:59 PM (UTC)	12865	Queue Proxy does not exit after draining and server shutdown	https://github.com/knative/serving/issues/12865	autoscaling
No	03/15/2022 8:00 AM (UTC)	12734	Activator LB doesn't work well	https://github.com/knative/serving/issues/12734	routing / traffic
No	03/03/2022 8:07 PM (UTC)	12691	Initial Revisions (at least) with crash-looping pods take a long time to terminate/clean up Pods	https://github.com/knative/serving/issues/12691	status-conditions, version-semantics
Yes	02/03/2022 4:37 PM (UTC)	12593	With min-scale > 1 and activator only the first pod receive traffic	https://github.com/knative/serving/issues/12593	config-challenge, routing / traffic
Yes	01/31/2022 12:38 PM (UTC)	12571	Readiness probe fails if the container restarts after a liveness probe fail	https://github.com/knative/serving/issues/12571	controller-interactions, status-conditions
Yes	01/31/2022 3:49 AM (UTC)	12569	503 on new revision	https://github.com/knative/serving/issues/12569	routing / traffic
Yes	01/20/2022 11:05 PM (UTC)	12538	When using a preemptible node pool, preemption events cause rollback to previous revision	https://github.com/knative/serving/issues/12538	control-plane, status-conditions, version-semantics
Yes	01/04/2022 10:34 PM (UTC)	12474	Webhook YAML causes constant config drift	https://github.com/knative/serving/issues/12474	control-plane
Yes	12/29/2021 8:54 AM (UTC)	12462	Liveness probe failing with 400	https://github.com/knative/serving/issues/12462	status-conditions
Yes	12/15/2021 11:27 PM (UTC)	12440	Pods fail to schedule and see churn/thrashing when running Knative Serving on an autoscaled Kubernetes cluster	https://github.com/knative/serving/issues/12440	control-plane, controller-interactions
Yes	12/09/2021 3:19 PM (UTC)	12414	Queue proxy unexpected timeout and 502 response	https://github.com/knative/serving/issues/12414	routing / traffic
Yes	12/08/2021 11:52 AM (UTC)	12409	when the replicase of the autoscaler component bigger than 1, I got an error	https://github.com/knative/serving/issues/12409	config-challenge, control-plane
No	10/28/2021 11:45 AM (UTC)	12188	The status of Route/Ksvc is not updated even when KCert is updated	https://github.com/knative/serving/issues/12188	config-challenge, control-plane, status-conditions
Yes	09/06/2021 8:54 AM (UTC)	11926	With default settings, a single request causes flipping activator in/out of path with min-scale=2	https://github.com/knative/serving/issues/11926	config-challenge, routing / traffic
Yes	09/06/2021 7:47 AM (UTC)	11923	knative marked revision as Failed immediately with k8s schedule error	https://github.com/knative/serving/issues/11923	control-plane
No	09/03/2021 1:58 PM (UTC)	11916	Service lets you point traffic at revisions it does not own	https://github.com/knative/serving/issues/11916	config-challenge
Yes	08/27/2021 8:30 AM (UTC)	11877	When Istio-injection is enabled in knative-serving, Activator/Autoscaler not able to connect to the pods of other namespace. (with Istio v1.9.x)	https://github.com/knative/serving/issues/11877	config-challenge
Yes	07/16/2021 4:26 PM (UTC)	11693	Readiness Problem using handle exec probes in scale from zero 	https://github.com/knative/serving/issues/11693	controller-interactions, status-conditions
Yes	06/24/2021 2:29 PM (UTC)	11596	502 errors with Istio Mesh	https://github.com/knative/serving/issues/11596	routing / traffic
No	06/15/2021 4:36 PM (UTC)	11532	targetBurstCapacity does not behave correctly when there is more than one activator pod	https://github.com/knative/serving/issues/11532	routing / traffic
Yes	06/07/2021 1:26 PM (UTC)	11476	Service with invalid URL hangs in `IngressNotConfigured` state	https://github.com/knative/serving/issues/11476	status-conditions
Yes	05/19/2021 1:38 PM (UTC)	11373	Traffic is briefly routed suboptimally when new Revision becomes ready	https://github.com/knative/serving/issues/11373	routing / traffic, status-conditions
Yes	05/13/2021 8:20 AM (UTC)	11337	Revision state set to \"ready\" for unhealthy user-container	https://github.com/knative/serving/issues/11337	status-conditions
Yes	05/12/2021 5:28 PM (UTC)	11335	TLS Gateway config does not persist	https://github.com/knative/serving/issues/11335	config-challenge, config-difficulty
No	04/19/2021 9:34 AM (UTC)	11218	minScale treatment races reachability check	https://github.com/knative/serving/issues/11218	controller-interactions
Yes	04/12/2021 1:18 AM (UTC)	11154	Autoscaler falls back to scrape service 	https://github.com/knative/serving/issues/11154	autoscaling
Yes	03/31/2021 7:54 PM (UTC)	11092	Revisions might be underscaled on upgrade (and every deployment change)	https://github.com/knative/serving/issues/11092	autoscaling
Yes	03/18/2021 12:38 PM (UTC)	10973	Pod-startup regression due to probing periods	https://github.com/knative/serving/issues/10973	controller-interactions, status-conditions
Yes	02/23/2021 6:59 PM (UTC)	10838	Unable to opt-out of aggressive probing	https://github.com/knative/serving/issues/10838	status-conditions
Yes	02/23/2021 1:50 PM (UTC)	10835	Revisions with no traffic remain forever active with Google Cloud Run on GKE	https://github.com/knative/serving/issues/10835	autoscaling, version-semantics
Yes	02/22/2021 10:24 AM (UTC)	10826	Trivial to evade maxScaleLimit	https://github.com/knative/serving/issues/10826	config-challenge, version-semantics
Yes	02/12/2021 5:05 PM (UTC)	10764	User-specified readiness probes with periodSeconds>0 should not be ignored	https://github.com/knative/serving/issues/10764	status-conditions
Yes	02/05/2021 10:11 PM (UTC)	10710	Rollout stuck when rolloutDuration > 0 and enable-virtualservice-status = true	https://github.com/knative/serving/issues/10710	config-difficulty
Yes	01/12/2021 1:25 PM (UTC)	10528	knative autoscaller scale to zero failure	https://github.com/knative/serving/issues/10528	autoscaling, routing / traffic
No	01/11/2021 2:17 AM (UTC)	10511	Knative reconcile fails in-middle, but be `ready` eventually for service creation	https://github.com/knative/serving/issues/10511	control-plane, controller-interactions, status-conditions
Yes	01/07/2021 6:34 AM (UTC)	10499	traffic splitting between two ksvc	https://github.com/knative/serving/issues/10499	config-difficulty
